epoch,global_step,layer,metric_type,value
1.0,3274,base_model.model.roberta.embeddings.word_embeddings.weight,base,2.8762521464546524
1.0,3274,base_model.model.roberta.embeddings.position_embeddings.weight,base,1.794806501817938
1.0,3274,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,3274,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,65.16850243294316
1.0,3274,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,2.1884712167558633
1.0,3274,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,65.17442928869684
1.0,3274,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,130.91481538106177
1.0,3274,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,2.7072944488328945
1.0,3274,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,130.88281219638947
1.0,3274,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,88.31941014198881
1.0,3274,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,1.0687405284607336
1.0,3274,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,88.31908211125844
1.0,3274,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,5.915947919238045
1.0,3274,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,1.0808124082861625
1.0,3274,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,5.916260749687051
1.0,3274,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,7.211772906074545
1.0,3274,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,1.0185295204750227
1.0,3274,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,7.21556692295056
1.0,3274,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,45.444507184256565
1.0,3274,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,1.196936647953522
1.0,3274,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,45.447759356443676
1.0,3274,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,49.83982559284896
1.0,3274,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,1.1624631430596644
1.0,3274,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,49.83311495375315
1.0,3274,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,36.683594715722144
1.0,3274,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,1.6896388445006978
1.0,3274,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,36.69392970151407
1.0,3274,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,100.83349896198295
1.0,3274,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.049347773562385
1.0,3274,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,100.83493572561818
1.0,3274,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,14.804032969892802
1.0,3274,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,1.1161205810560313
1.0,3274,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,14.804752853227196
1.0,3274,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,10.80473028402092
1.0,3274,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,1.0094528382241008
1.0,3274,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,10.804524741786626
1.0,3274,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,29.953815799001653
1.0,3274,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,1.2201297402822815
1.0,3274,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,29.95454607156402
1.0,3274,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,49.94102365282341
1.0,3274,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,delta,1.1111661052950843
1.0,3274,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,effective,49.90361122031831
1.0,3274,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,base,56.246165221169115
1.0,3274,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,delta,1.4986159369815137
1.0,3274,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,effective,56.20641846312015
1.0,3274,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,base,53.35955946695758
1.0,3274,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,delta,1.0164182281454046
1.0,3274,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,effective,53.362839004892365
1.0,3274,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,base,14.211729843144505
1.0,3274,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,delta,1.2920228123533068
1.0,3274,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,effective,14.214364890823473
1.0,3274,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,base,14.171262905121031
1.0,3274,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,delta,1.0316674034197346
1.0,3274,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,effective,14.174862613871886
1.0,3274,base_model.model.roberta.encoder.layer.2.output.dense.weight,base,27.617960006342027
1.0,3274,base_model.model.roberta.encoder.layer.2.output.dense.weight,delta,1.3708257330350644
1.0,3274,base_model.model.roberta.encoder.layer.2.output.dense.weight,effective,27.618127015087104
1.0,3274,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,base,40.38710324398324
1.0,3274,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,delta,1.1735002287427536
1.0,3274,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,effective,40.38660406239578
1.0,3274,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,base,52.78959322892153
1.0,3274,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,delta,1.7968450626631065
1.0,3274,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,effective,52.79016993368096
1.0,3274,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,base,85.08426624756609
1.0,3274,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,delta,1.402330093362348
1.0,3274,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,effective,85.09235607212302
1.0,3274,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,base,21.91678510152632
1.0,3274,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,delta,1.0601053235981537
1.0,3274,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,effective,21.90974915265493
1.0,3274,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,base,20.110905845538312
1.0,3274,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,delta,1.0129306536353575
1.0,3274,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,effective,20.118378569068938
1.0,3274,base_model.model.roberta.encoder.layer.3.output.dense.weight,base,25.971211357979648
1.0,3274,base_model.model.roberta.encoder.layer.3.output.dense.weight,delta,1.1881922067405848
1.0,3274,base_model.model.roberta.encoder.layer.3.output.dense.weight,effective,25.970045807154023
1.0,3274,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,base,16.316341559015992
1.0,3274,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,delta,1.3114363031141028
1.0,3274,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,effective,16.318140642221508
1.0,3274,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,base,61.19224054984023
1.0,3274,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,delta,1.1057624479814447
1.0,3274,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,effective,61.246210679629506
1.0,3274,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,base,105.4275948284823
1.0,3274,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,delta,1.0553556579357697
1.0,3274,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,effective,105.40122916822403
1.0,3274,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,base,20.803518310365877
1.0,3274,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,delta,1.2360334315388992
1.0,3274,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,effective,20.804482045699807
1.0,3274,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,base,20.02480060993551
1.0,3274,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,delta,1.0204284325518356
1.0,3274,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,effective,20.031796464735162
1.0,3274,base_model.model.roberta.encoder.layer.4.output.dense.weight,base,29.728196317360545
1.0,3274,base_model.model.roberta.encoder.layer.4.output.dense.weight,delta,1.0151085801200854
1.0,3274,base_model.model.roberta.encoder.layer.4.output.dense.weight,effective,29.727910371440384
1.0,3274,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,base,11.762495176171988
1.0,3274,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,delta,1.0504712460934122
1.0,3274,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,effective,11.758356772083197
1.0,3274,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,base,61.699005373669515
1.0,3274,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,delta,1.1041435382067049
1.0,3274,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,effective,61.75812539937028
1.0,3274,base_model.model.roberta.encoder.layer.5.attention.self.value.weight,base,99.56625816874656
1.0,3274,base_model.model.roberta.encoder.layer.5.attention.self.value.weight,delta,1.0172842134335462
1.0,3274,base_model.model.roberta.encoder.layer.5.attention.self.value.weight,effective,99.56604075089118
1.0,3274,base_model.model.roberta.encoder.layer.5.attention.output.dense.weight,base,26.298959057905314
1.0,3274,base_model.model.roberta.encoder.layer.5.attention.output.dense.weight,delta,1.3067886033367258
1.0,3274,base_model.model.roberta.encoder.layer.5.attention.output.dense.weight,effective,26.30091863840305
1.0,3274,base_model.model.roberta.encoder.layer.5.intermediate.dense.weight,base,20.785218764453894
1.0,3274,base_model.model.roberta.encoder.layer.5.intermediate.dense.weight,delta,1.0087837345602129
1.0,3274,base_model.model.roberta.encoder.layer.5.intermediate.dense.weight,effective,20.799824577505888
1.0,3274,base_model.model.roberta.encoder.layer.5.output.dense.weight,base,35.247083242875256
1.0,3274,base_model.model.roberta.encoder.layer.5.output.dense.weight,delta,1.048875225756966
1.0,3274,base_model.model.roberta.encoder.layer.5.output.dense.weight,effective,35.250272873204494
1.0,3274,base_model.model.roberta.encoder.layer.6.attention.self.query.weight,base,14.075301678596741
1.0,3274,base_model.model.roberta.encoder.layer.6.attention.self.query.weight,delta,1.2371232066720412
1.0,3274,base_model.model.roberta.encoder.layer.6.attention.self.query.weight,effective,14.074303614116223
1.0,3274,base_model.model.roberta.encoder.layer.6.attention.self.key.weight,base,66.43951114473974
1.0,3274,base_model.model.roberta.encoder.layer.6.attention.self.key.weight,delta,1.2141768634505286
1.0,3274,base_model.model.roberta.encoder.layer.6.attention.self.key.weight,effective,66.47645131450824
1.0,3274,base_model.model.roberta.encoder.layer.6.attention.self.value.weight,base,90.24191649634543
1.0,3274,base_model.model.roberta.encoder.layer.6.attention.self.value.weight,delta,1.0196063149053003
1.0,3274,base_model.model.roberta.encoder.layer.6.attention.self.value.weight,effective,90.24061756924748
1.0,3274,base_model.model.roberta.encoder.layer.6.attention.output.dense.weight,base,29.94873534068194
1.0,3274,base_model.model.roberta.encoder.layer.6.attention.output.dense.weight,delta,1.2158284013870488
1.0,3274,base_model.model.roberta.encoder.layer.6.attention.output.dense.weight,effective,29.951219944088038
1.0,3274,base_model.model.roberta.encoder.layer.6.intermediate.dense.weight,base,22.03994696544542
1.0,3274,base_model.model.roberta.encoder.layer.6.intermediate.dense.weight,delta,1.007137570925363
1.0,3274,base_model.model.roberta.encoder.layer.6.intermediate.dense.weight,effective,22.054108813429167
1.0,3274,base_model.model.roberta.encoder.layer.6.output.dense.weight,base,32.14799086383212
1.0,3274,base_model.model.roberta.encoder.layer.6.output.dense.weight,delta,1.0112106443349398
1.0,3274,base_model.model.roberta.encoder.layer.6.output.dense.weight,effective,32.15010561739598
1.0,3274,base_model.model.roberta.encoder.layer.7.attention.self.query.weight,base,14.658838567416794
1.0,3274,base_model.model.roberta.encoder.layer.7.attention.self.query.weight,delta,1.0681503425061203
1.0,3274,base_model.model.roberta.encoder.layer.7.attention.self.query.weight,effective,14.661226760923642
1.0,3274,base_model.model.roberta.encoder.layer.7.attention.self.key.weight,base,70.99344042385209
1.0,3274,base_model.model.roberta.encoder.layer.7.attention.self.key.weight,delta,1.7525961697967927
1.0,3274,base_model.model.roberta.encoder.layer.7.attention.self.key.weight,effective,71.0031503446603
1.0,3274,base_model.model.roberta.encoder.layer.7.attention.self.value.weight,base,77.89752183447247
1.0,3274,base_model.model.roberta.encoder.layer.7.attention.self.value.weight,delta,1.0338791882668419
1.0,3274,base_model.model.roberta.encoder.layer.7.attention.self.value.weight,effective,77.90599992693706
1.0,3274,base_model.model.roberta.encoder.layer.7.attention.output.dense.weight,base,26.25258171912584
1.0,3274,base_model.model.roberta.encoder.layer.7.attention.output.dense.weight,delta,1.3135427658388026
1.0,3274,base_model.model.roberta.encoder.layer.7.attention.output.dense.weight,effective,26.244734519587436
1.0,3274,base_model.model.roberta.encoder.layer.7.intermediate.dense.weight,base,21.184176643360725
1.0,3274,base_model.model.roberta.encoder.layer.7.intermediate.dense.weight,delta,1.0033209937667522
1.0,3274,base_model.model.roberta.encoder.layer.7.intermediate.dense.weight,effective,21.20359573297643
1.0,3274,base_model.model.roberta.encoder.layer.7.output.dense.weight,base,30.771296447145282
